序号,物质名称,物质描述,EC号,CAS号,纳入日期,SVHC判定依据,ECHA决定/法规记录,法规结果日期
162,Hexahydromethylphthalic anhydride,including cis- and trans- stereo isomeric forms and all possible combinations of the isomers,,,19-Dec-2012,Respiratory sensitising properties (Article 57(f) - human health),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=b23d4cd79677b5d593d239806099a1a3_decision_cand_list_20121219_en.pdf,19-Dec-2012
163,"Hydrazine
Hydrazine",,"206-114-9
206-114-9","302-01-2
7803-57-8",20-Jun-2011,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=1d7c6ae856ebb241cc18606780458f5c_ed_31_2011_en.pdf,20-Jun-2011
164,Imidazolidine-2-thione (2-imidazoline-2-thiol),,202-506-9,96-45-7,16-Dec-2013,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=371e3b84f51bb131d9d2be0f7fb58e3f_ed_121_2013_cand_list_en.pdf,16-Dec-2013
165,Isobutyl 4-hydroxybenzoate,,224-208-8,4247-02-3,17-Jan-2023,Endocrine disrupting properties (Article 57(f) - human health),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=d9c30221a59fb43a280ed3480d988e79_D(2022)9120-DC.pdf,17-Jan-2023
166,Lead,,231-100-4,7439-92-1,27-Jun-2018,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=8475f96d4803c2d9c1bb2f45ae8834a8_ED_61_2018.pdf,27-Jun-2018
167,Lead bis(tetrafluoroborate),,237-486-0,13814-96-5,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=aac45c98c192887e51c90d9e465c6dc7_decision_cand_list_20121219_en.pdf,19-Dec-2012
168,Lead chromate,,231-846-0,7758-97-6,13-Jan-2010,"Carcinogenic (Article 57a)
Toxic for reproduction (Article 57c)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=72e48ec734d226b7a9551bd302ff2ea3_ed_68_2009_en.pdf,13-Jan-2010
169,Lead chromate molybdate sulfate red,"This substance is identified in the Colour Index by Colour Index Constitution Number, C.I. 77605.",235-759-9,12656-85-8,13-Jan-2010,"Carcinogenic (Article 57a)
Toxic for reproduction (Article 57c)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=57a8110d9273f448a7ec40bbe1cc0280_ed_68_2009_en.pdf,13-Jan-2010
170,Lead cyanamidate,,244-073-9,20837-86-9,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=1d85dc9e71b9e233a5f480988aae53c7_decision_cand_list_20121219_en.pdf,19-Dec-2012
171,Lead di(acetate),,206-104-4,301-04-2,16-Dec-2013,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=442f22b0d7051099d2243b652116d817_ed_121_2013_cand_list_en.pdf,16-Dec-2013
172,"Lead diazide, Lead azide",,236-542-1,13424-46-9,19-Dec-2011,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=2fd580ca45082f74ae2a25fc24310511_ed_77_2011_en.pdf,19-Dec-2011
173,Lead dinitrate,,233-245-9,10099-74-8,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=19f3019a31a8845217307edbaa51d6fc_decision_cand_list_20121219_en.pdf,19-Dec-2012
174,Lead dipicrate,,229-335-2,6477-64-1,19-Dec-2011,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=22333b24a65d575c49a8c745cb18f53c_ed_77_2011_en.pdf,19-Dec-2011
175,Lead hydrogen arsenate,,232-064-2,7784-40-9,28-Oct-2008,"Carcinogenic (Article 57a)
Toxic for reproduction (Article 57c)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=03c7ea13a958e6eb60d5645286d924a4_ed_67_2008_en.pdf,28-Oct-2008
176,Lead monoxide (lead oxide),,215-267-0,1317-36-8,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=208601c72ea4bd73f7ae6b1e7247911d_decision_cand_list_20121219_en.pdf,19-Dec-2012
177,Lead oxide sulfate,,234-853-7,12036-76-9,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=89f7d22b082c487e573be30afe8cf188_decision_cand_list_20121219_en.pdf,19-Dec-2012
178,Lead styphnate,,239-290-0,15245-44-0,19-Dec-2011,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=e1850fd815155cbfd2aec669056907cf_ed_77_2011_en.pdf,19-Dec-2011
179,Lead sulfochromate yellow,"This substance is identified in the Colour Index by Colour Index Constitution Number, C.I. 77603.",215-693-7,1344-37-2,13-Jan-2010,"Carcinogenic (Article 57a)
Toxic for reproduction (Article 57c)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=f40538617a704fccbc6fa0cf2c584482_ed_68_2009_en.pdf,13-Jan-2010
180,Lead titanium trioxide,,235-038-9,12060-00-3,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=ab28aedb87979ddd8ab2adf676468a27_decision_cand_list_20121219_en.pdf,19-Dec-2012
181,Lead titanium zirconium oxide,,235-727-4,12626-81-2,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=c193613ada31c495486c9a6628dbc90d_decision_cand_list_20121219_en.pdf,19-Dec-2012
182,Lead(II) bis(methanesulfonate),BLEIMETHANSULFONAT; LEAD (II) METHANESULFONATE; LEAD METHANE SULPHONATE; LEAD SALT FP,401-750-5,17570-76-2,18-Jun-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=68ab44240325a2b7b87d463f359c95b9_ed_87_2012_en.pdf,18-Jun-2012
183,Medium-chain chlorinated paraffins (MCCP),UVCB substances consisting of more than or equal to 80% linear chloroalkanes with carbon chain lengths within the range from C14 to C17,799-971-8,,08-Jul-2021,"PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=37f18ae42e249d7171fa2d20e21e0d6f_D(2021)4569-DC.pdf,08-Jul-2021
184,Melamine,,203-615-4,108-78-1,17-Jan-2023,"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)
Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=640c895f30a00c6faf0a40ac97d9daee_D(2022)9120-DC.pdf,17-Jan-2023
185,Methoxyacetic acid,,210-894-6,625-45-6,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=75c6af69ba43f92fe5e20057b632b80c_decision_cand_list_20121219_en.pdf,19-Dec-2012
186,Methyloxirane (Propylene oxide),,200-879-2,75-56-9,19-Dec-2012,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=c3e99949a1af390abba946c70524605d_decision_cand_list_20121219_en.pdf,19-Dec-2012
187,"N,N,N',N'-tetramethyl-4,4'-methylenedianiline (Michler’s base)",,202-959-2,101-61-1,18-Jun-2012,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=6afd8fe014c92fd2d10a991ba47ac870_ed_87_2012_en.pdf,18-Jun-2012
188,"N,N-dimethylacetamide",,204-826-4,127-19-5,19-Dec-2011,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=7f645176986999ec8629377433b4c48f_ed_77_2011_en.pdf,19-Dec-2011
189,"N,N-dimethylformamide",,200-679-5,68-12-2,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=b38b0a8a7b29fa961574234746b09087_decision_cand_list_20121219_en.pdf,19-Dec-2012
190,N-(hydroxymethyl)acrylamide,,213-103-2,924-42-5,10-Jun-2022,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=af71623eefd3113e9613c0032f5643f8_D(2022)4187-DC.pdf,10-Jun-2022
191,n-hexane,,203-777-6,110-54-3,04-Feb-2026,Specific target organ toxicity after repeated exposure (Article 57(f) - human health),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=f7d301736eada637ac40cddf51edb92f_D(2025)7771-DC.pdf,04-Feb-2026
192,N-methylacetamide,,201-182-6,79-16-3,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=f00d4a05660b0a2163dcd08f4ed64da8_decision_cand_list_20121219_en.pdf,19-Dec-2012
193,n-pentyl-isopentyl phthalate,,,776297-69-9,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=6d900208aa5274c1616b18734471b554_decision_cand_list_20121219_en.pdf,19-Dec-2012
194,Nitrobenzene,,202-716-0,98-95-3,17-Dec-2015,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=5bcc6350c93779a72de0aabd6f33c9c1_ED_Decision_79_2015.pdf,17-Dec-2015
195,Nonadecafluorodecanoic acid (PFDA) and its sodium and ammonium salts,,,,12-Jan-2017,"Toxic for reproduction (Article 57c)
PBT (Article 57d)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=2f7c5af3b1fd32b837fe7e402171f2b7_SVHC_Decision_ED_01_2017.pdf,12-Jan-2017
196,"O,O,O-triphenyl phosphorothioate",,209-909-9,597-82-0,21-Jan-2025,PBT (Article 57d),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=3bb2f36b9f82cbbc7a181d006cb31127_D(2024)7663-DC.pdf,21-Jan-2025
197,o-aminoazotoluene,,202-591-2,97-56-3,19-Dec-2012,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=f797ede352d24395a70c60d81045e9df_decision_cand_list_20121219_en.pdf,19-Dec-2012
198,o-toluidine,,202-429-0,95-53-4,19-Dec-2012,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=49757ba96b539d2d0fee3f0ae7bb0137_decision_cand_list_20121219_en.pdf,19-Dec-2012
199,Octamethylcyclotetrasiloxane,,209-136-7,556-67-2,27-Jun-2018,"PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=fad38d6bdf46034103c6e068c727cfcc_ED_61_2018.pdf,27-Jun-2018
200,Octamethyltrisiloxane,,203-497-4,107-51-7,21-Jan-2025,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=8115da88b7dda58868f5e7bdf4d68c9d_D(2024)7663-DC.pdf,21-Jan-2025
201,Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol,,,,23-Jan-2024,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=a51f3decd6de61c09ea65ff080b00b7b_D(2023)8585-DC.pdf,23-Jan-2024
202,Orange lead (lead tetroxide),,215-235-6,1314-41-6,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=b8e1b4a993635445e48bac8d7fff0506_decision_cand_list_20121219_en.pdf,19-Dec-2012
203,"orthoboric acid, sodium salt",,,,08-Jul-2021,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=95248eccce07cf07c12655e44c4a9488_D(2021)4569-DC.pdf,08-Jul-2021
204,"p-(1,1-dimethylpropyl)phenol",,201-280-9,80-46-6,12-Jan-2017,Endocrine disrupting properties (Article 57(f) - environment),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=f13578c68c782c09440dc14c2acd42c8_SVHC_Decision_ED_01_2017.pdf,12-Jan-2017
205,Pentacosafluorotridecanoic acid,,276-745-2,72629-94-8,19-Dec-2012,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=c9c9d10502124aec5abc24b699e31a84_decision_cand_list_20121219_en.pdf,19-Dec-2012
206,Pentadecafluorooctanoic acid (PFOA),,206-397-9,335-67-1,20-Jun-2013,"Toxic for reproduction (Article 57c)
PBT (Article 57d)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=c2ce160dd05fc978806a543931be2535_decision_cand_list_20120620_en.pdf,20-Jun-2013
207,Pentalead tetraoxide sulphate,,235-067-7,12065-90-6,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=566924eb6c2a266e345c29b3003d4c20_decision_cand_list_20121219_en.pdf,19-Dec-2012
208,Pentazinc chromate octahydroxide,,256-418-0,49663-84-5,19-Dec-2011,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=0b9332dc3f98735266b074767a9ed631_ed_77_2011_en.pdf,19-Dec-2011
209,Perfluamine,,206-420-2,338-83-0,21-Jan-2025,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=601cbab4fbc8f23d06bac572f39ca946_D(2024)7663-DC.pdf,21-Jan-2025
210,Perfluorobutane sulfonic acid (PFBS) and its salts,,,,16-Jan-2020,"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)
Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=5a476c0fffa310ce49c60acc72804289_ECHA_01_2020.pdf,16-Jan-2020
211,Perfluoroheptanoic acid and its salts,,,,17-Jan-2023,"Toxic for reproduction (Article 57c)
PBT (Article 57d)
vPvB (Article 57e)
Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)
Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=98705374943d943ba4409764c1a2def8_D(2022)9120-DC.pdf,17-Jan-2023
212,Perfluorohexane-1-sulphonic acid and its salts,PFHxS,,,07-Jul-2017,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=5555014e2ca11fcf75227a6fc4723f55_ED_30_2017.pdf,07-Jul-2017
213,Perfluorononan-1-oic-acid and its sodium and ammonium salts,,,,17-Dec-2015,"Toxic for reproduction (Article 57c)
PBT (Article 57d)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=95a1e528d9f6463903aa150abca148c7_ED_Decision_79_2015.pdf,17-Dec-2015
214,Phenanthrene,,201-581-5,85-01-8,15-Jan-2019,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=6c2bca5c45e46ad3533f325633e83398_ED_88_2018.pdf,15-Jan-2019
215,"Phenol, alkylation products (mainly in para position) with C12-rich branched alkyl chains from oligomerisation, covering any individual isomers and/ or combinations thereof (PDDP)",,,,08-Jul-2021,"Toxic for reproduction (Article 57c)
Endocrine disrupting properties (Article 57(f) - environment)
Endocrine disrupting properties (Article 57(f) - human health)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=1f4fe10834fd8179e17eabee1b1a4d62_D(2021)4569-DC.pdf,08-Jul-2021
216,Phenolphthalein,,201-004-7,77-09-8,19-Dec-2011,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=27df3d4f1a4a0f19a9cc873f69360384_ed_77_2011_en.pdf,19-Dec-2011
217,"Pitch, coal tar, high-temp.",The residue from the distillation of high temperature coal tar. A black solid with an approximate softening point from 30°C to 180°C (86°F to 356°F). Composed primarily of a complex mixture of three or more membered condensed ring aromatic hydrocarbons.,266-028-2,65996-93-2,13-Jan-2010,"Carcinogenic (Article 57a)
PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=9d889fbabe673e0e4bcc17d59c98c627_ed_68_2009_en.pdf,13-Jan-2010
218,Potassium chromate,,232-140-5,7789-00-6,18-Jun-2010,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=86bcf7d658979e97d43925d460736a0a_ed_30_2010_en.pdf,18-Jun-2010
219,Potassium dichromate,,231-906-6,7778-50-9,18-Jun-2010,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)
Toxic for reproduction (Article 57c)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=66ddd5429eb02dbec5a0f33d5d515aa9_ed_30_2010_en.pdf,18-Jun-2010
220,Potassium hydroxyoctaoxodizincatedichromate,,234-329-8,11103-86-9,19-Dec-2011,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=8b976c75f9db02ad6212135ed977d2ab_ed_77_2011_en.pdf,19-Dec-2011
221,Pyrene,,204-927-3,129-00-0,15-Jan-2019,"PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=0fa08fd3b459196b4210cd9c4a063dfb_ED_88_2018.pdf,15-Jan-2019
222,"Pyrochlore, antimony lead yellow","This substance is identified in the Colour Index by Colour Index Constitution Number, C.I. 77588.",232-382-1,8012-00-8,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=216043ed28eb0a29b0e0bacd417f1553_decision_cand_list_20121219_en.pdf,19-Dec-2012
223,"reaction mass of 2,2,3,3,5,5,6,6-octafluoro-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)morpholine and 2,2,3,3,5,5,6,6-octafluoro-4-(heptafluoropropyl)morpholine",,473-390-7,,17-Jan-2023,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=e3034ed2cc68fe74c514f965acc60d3d_D(2022)9120-DC.pdf,17-Jan-2023
224,"Reaction mass of 2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate and 2-ethylhexyl 10-ethyl-4-[[2-[(2-ethylhexyl)oxy]-2-oxoethyl]thio]-4-octyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate (reaction mass of DOTE and MOTE)",,,,17-Dec-2014,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=116aff1f051644b093f07bd68cff2085_ed_108_2014_cand_list_en.pdf,17-Dec-2014
225,reaction mass of: triphenylthiophosphate and tertiary butylated phenyl derivatives,,421-820-9,192268-65-8,21-Jan-2025,PBT (Article 57d),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=edbc7450a3dcb339a23b0bd9ea1684d4_D(2024)7663-DC.pdf,21-Jan-2025
226,"Reaction products of 1,3,4-thiadiazolidine-2,5-dithione, formaldehyde and 4-heptylphenol, branched and linear (RP-HP)","with ≥0.1% w/w 4-heptylphenol, branched and linear (4-HPbl)",,,15-Jan-2018,Endocrine disrupting properties (Article 57(f) - environment),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=8602789d73430b223fce2eca0766181c_SVHC_Decision_ED_01_2018.pdf,15-Jan-2018
227,"S-(tricyclo(5.2.1.0'2,6)deca-3-en-8(or 9)-yl O-(isopropyl or isobutyl or 2-ethylhexyl) O-(isopropyl or isobutyl or 2-ethylhexyl) phosphorodithioate",,401-850-9,255881-94-8,17-Jan-2022,PBT (Article 57d),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=fdef3c574e78b397e82c2f3329d87ff2_D(2021)10043-DC.pdf,17-Jan-2022
228,"Silicic acid (H2Si2O5), barium salt (1:1), lead-doped",,272-271-5,68784-75-8,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=674b5f86a36ca519f8ba730cd9e802b0_decision_cand_list_20121219_en.pdf,19-Dec-2012
229,"Silicic acid, lead salt",,234-363-3,11120-22-2,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=56e0158fba35add524ac4e1aa3ab967f_decision_cand_list_20121219_en.pdf,19-Dec-2012
230,Sodium chromate,,231-889-5,7775-11-3,18-Jun-2010,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)
Toxic for reproduction (Article 57c)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=5a1bab6e01cf6f6c4288876c9aee493c_ed_30_2010_en.pdf,18-Jun-2010
231,"Sodium dichromate
Sodium dichromate",,"234-190-3
234-190-3","10588-01-9
7789-12-0",28-Oct-2008,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)
Toxic for reproduction (Article 57c)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=ed075c3f399efdd49a620eda49cb19ee_ed_67_2008_en.pdf,28-Oct-2008
232,"Sodium perborate, perboric acid, sodium salt",,,,16-Jun-2014,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=9e3b769d5af3a6fd6451faa19eb3f369_ed_49_2014_cand_list_en.pdf,16-Jun-2014
233,Sodium peroxometaborate,,231-556-4,7632-04-4,16-Jun-2014,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=21b6bd0880f2f77f6b47e0a3b54f1d02_ed_49_2014_cand_list_en.pdf,16-Jun-2014
234,Strontium chromate,,232-142-6,7789-06-2,20-Jun-2011,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=d0b8051c5ef725aba5fc140b004309b7_ed_31_2011_en.pdf,20-Jun-2011
235,"Sulfurous acid, lead salt, dibasic",,263-467-1,62229-08-7,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=56f607e154925831f35691551bfce056_decision_cand_list_20121219_en.pdf,19-Dec-2012
236,"Terphenyl, hydrogenated",,262-967-7,61788-32-7,27-Jun-2018,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=e8d8031553104807b69c42f66683ec85_ED_61_2018.pdf,27-Jun-2018
237,"tetra(sodium/potassium) 7-[(E)-{2-acetamido-4-[(E)-(4-{[4-chloro-6-({2-[(4-fluoro-6-{[4-(vinylsulfonyl)phenyl]amino}-1,3,5-triazine-2-yl)amino]propyl}amino)-1,3,5-triazine-2-yl]amino}-5-sulfonato-1-naphthyl)diazenyl]-5-methoxyphenyl}diazenyl]-1,3,6-naphthalenetrisulfonate (Reactive Brown 51)",substance having a complex composition with <80% of the above constituents and other reaction side products,466-490-7,,25-Jun-2025,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=0078729bcbe41c27a4a98944a6a32314_D(2025)4165-DC.pdf,25-Jun-2025
238,"Tetraboron disodium heptaoxide, hydrate",,235-541-3,12267-73-1,18-Jun-2010,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=bed1f2f7f4d383533093cd60251f05e4_ed_30_2010_en.pdf,18-Jun-2010
239,Tetraethyllead,,201-075-4,78-00-2,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=c8efe90c4fed944200ceb71e5df9e264_decision_cand_list_20121219_en.pdf,19-Dec-2012
240,Tetralead trioxide sulphate,,235-380-9,12202-17-4,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=123b51cf12bb081337a81c6ba2e26bf4_decision_cand_list_20121219_en.pdf,19-Dec-2012
241,Trichloroethylene,,201-167-4,79-01-6,18-Jun-2010,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=a774e5e35a20db261a6c8870c5b8c4f6_ed_30_2010_en.pdf,18-Jun-2010
242,Tricosafluorododecanoic acid,,206-203-2,307-55-1,19-Dec-2012,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=254a0daf39169618ddd83503693fe0da_decision_cand_list_20121219_en.pdf,19-Dec-2012
243,Triethyl arsenate,TRIETHYLARSENAT; TRIETHYLARSENATE; TRIETHYLARSENATE (TEASAT),427-700-2,15606-95-8,28-Oct-2008,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=6750aef3905127d0dda6c25ff15ccf52_ed_67_2008_en.pdf,28-Oct-2008
244,Trilead bis(carbonate) dihydroxide,,215-290-6,1319-46-6,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=d399096e8bf18737949a97223e34c37e_decision_cand_list_20121219_en.pdf,19-Dec-2012
245,Trilead diarsenate,,222-979-5,3687-31-8,19-Dec-2011,"Carcinogenic (Article 57a)
Toxic for reproduction (Article 57c)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=9d38455f34737487f141a4e05b6408cf_ed_77_2011_en.pdf,19-Dec-2011
246,Trilead dioxide phosphonate,,235-252-2,12141-20-7,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=80f2ff33d673ee40bf07e58fcd1000fb_decision_cand_list_20121219_en.pdf,19-Dec-2012
247,Triphenyl phosphate,,204-112-2,115-86-6,07-Nov-2024,Endocrine disrupting properties (Article 57(f) - environment),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=323b474e79c3b1b43a223c534c58b978_D(2024)6225-DC.pdf,07-Nov-2024
248,Tris(2-chloroethyl) phosphate,,204-118-5,115-96-8,13-Jan-2010,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=0bbc7443069697ff8ea8a6afe1ab338d_ed_68_2009_en.pdf,13-Jan-2010
249,tris(2-methoxyethoxy)vinylsilane,,,,17-Jan-2022,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=cab204d099e7c661cb773e6797786cc8_D(2021)10043-DC.pdf,17-Jan-2022
250,"Tris(4-nonylphenyl, branched and linear) phosphite (TNPP)",,,,16-Jul-2019,Endocrine disrupting properties (Article 57(f) - environment),"https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=8c98f8c21000128f889dcacdba3e0414_D(2024)7663-DC.pdf
https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=b83ea4b2060d78626be5e3e546834480_ED_71_2019.pdf",16-Jul-2019 | 21-Jan-2025
251,Trixylyl phosphate,,246-677-8,25155-23-1,16-Dec-2013,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=1d36448f0b7203449e819e5e5ef465b5_ed_121_2013_cand_list_en.pdf,16-Dec-2013
