序号,物质名称,物质描述,EC号,CAS号,纳入日期,SVHC判定依据,ECHA决定/法规记录,法规结果日期
34,2-(2H-benzotriazol-2-yl)-4-(tert-butyl)-6-(sec-butyl)phenol (UV-350),,253-037-1,36437-37-3,17-Dec-2015,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=4dc64c476624f8585c9027b0e717ae04_ED_Decision_79_2015.pdf,17-Dec-2015
35,2-(4-tert-butylbenzyl)propionaldehyde and its individual stereoisomers,,,,08-Jul-2021,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=d8437db1e932a543c53963a0e016d17d_D(2021)4569-DC.pdf,08-Jul-2021
36,2-(dimethylamino)-2-[(4-methylphenyl)methyl]-1-[4-(morpholin-4-yl)phenyl]butan-1-one,,438-340-0,119344-86-4,23-Jan-2024,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=fd526f88d5a3c1f70290f61b8e2ac2e2_D(2023)8585-DC.pdf,23-Jan-2024
37,"2-benzotriazol-2-yl-4,6-di-tert-butylphenol (UV-320)",,223-346-6,3846-71-7,17-Dec-2014,"PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=b123e20a51cb3ebf842155c3aad37408_ed_108_2014_cand_list_en.pdf,17-Dec-2014
38,2-benzyl-2-dimethylamino-4'-morpholinobutyrophenone,,404-360-3,119313-12-1,16-Jan-2020,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=6e89a804a459067c489e93096a23e4a4_ECHA_01_2020.pdf,16-Jan-2020
39,2-ethoxyethanol,,203-804-1,110-80-5,15-Dec-2010,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=7778a66129928388167cf1606988747d_ed_95_2010_en.pdf,15-Dec-2010
40,2-ethoxyethyl acetate,,203-839-2,111-15-9,20-Jun-2011,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=01935094e1aab40bc5f062d08ac3b0a6_ed_31_2011_en.pdf,20-Jun-2011
41,"2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate (DOTE)",,239-622-4,15571-58-1,17-Dec-2014,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=731c393751809ad4ffcef175d9431895_ed_108_2014_cand_list_en.pdf,17-Dec-2014
42,"2-Methoxyaniline, o-Anisidine",,201-963-1,90-04-0,19-Dec-2011,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=0882944667bfd4125a36508cbdff3b53_ed_77_2011_en.pdf,19-Dec-2011
43,2-methoxyethanol,,203-713-7,109-86-4,15-Dec-2010,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=fc23ee7d85975d48c9f1712a23e6709d_ed_95_2010_en.pdf,15-Dec-2010
